Part Number,Manufacturer,Designation,Description,Product Group,Link
RIT.8806000,Rittal,Baying enclosure system VX25,"VX Baying enclosure system, WHD: 800x2000x600 mm, sheet steel, with mounting plate, single door at the front",Mechanics > Enclosure > General,https://dataportal.eplan.com/part-details/Rittal/RIT.8806000/id-933976?page=1
RIT.8206000,Rittal,Baying enclosure system VX25,"VX Baying enclosure system, WHD: 1200x2000x600 mm, sheet steel, with mounting plate, two doors at the front",Mechanics > Enclosure > General,https://dataportal.eplan.com/part-details/Rittal/RIT.8206000/id-933743?page=1
RIT.8205000,Rittal,Baying enclosure system VX25,"VX Baying enclosure system, WHD: 1200x2000x500 mm, sheet steel, with mounting plate, two doors at the front",None ,https://dataportal.eplan.com/part-details/Rittal/RIT.8205000/id-933742?page=1
RIT.3110000,Rittal,"Thermostat / SK Thermostat, enclosure internal thermostat, 24-230 V, 1~, 24-60 V (DC), Colour RAL 7035, WHD: 71 x 71 x 33.5 mm",None ,"Electrical engineering > Amplifiers, controllers > General",https://dataportal.eplan.com/part-details/Rittal/RIT.3110000/id-420910?page=1
RIT.8805000,Rittal,Baying enclosure system VX25,"VX Baying enclosure system, WHD: 800x2000x500 mm, sheet steel, with mounting plate, single door at the front",Mechanics > Enclosure > General,https://dataportal.eplan.com/part-details/Rittal/RIT.8805000/id-933975?page=1
SE.LC1D09BD,Schneider Electric,TeSys Deca contactor - 3P(3 NO) - AC-3 - = 440 V 9 A - 24 V DC coil / Coil 24 V DC,TeSys Deca contactor - 3P(3 NO) - AC-3 - <lt/>= 440 V 9 A - 24 V DC coil,"Electrical engineering > Relays, contactors > Contactors",https://dataportal.eplan.com/part-details/Schneider%20Electric/SE.LC1D09BD/id-429993?page=1
RIT.8606000,Rittal,Baying enclosure system VX25,"VX Baying enclosure system, WHD: 600x2000x600 mm, sheet steel, with mounting plate, single door at the front",Mechanics > Enclosure > General,https://dataportal.eplan.com/part-details/Rittal/RIT.8606000/id-933766?page=1
SIE.6ES7193-6BP00-0DA0,Siemens,SIMATIC ET 200SP BU type A0 BU15-P16+A0+2D,"SIMATIC ET 200SP, BaseUnit BU15-P16+A0+2D, BU type A0, push-in terminals, without aux. terminals, new load group, WxH: 15x 117 mm",Electrical engineering > PLC > General,https://dataportal.eplan.com/part-details/Siemens/SIE.6ES7193-6BP00-0DA0/id-458591?page=1
SIE.6ES7193-6BP00-0BA0,Siemens,SIMATIC ET 200SP BU type A0 BU15-P16+A0+2B,"SIMATIC ET 200SP, BaseUnit BU15-P16+A0+2B, BU type A0, Push-in terminals, without AUX terminals, bridged to the left, WxH: 15x 117 mm",Electrical engineering > PLC > General,https://dataportal.eplan.com/part-details/Siemens/SIE.6ES7193-6BP00-0BA0/id-458589?page=1
SIE.6ES7193-6AR00-0AA0,Siemens,"ET 200SP, BA 2XRJ45 / SIMATIC DP, ET 200SP","SIMATIC ET 200SP, BUSADAPTER BA 2X RJ45, 2 RJ45 SOCKETS FOR PROFINET",Electrical engineering > PLC > General,https://dataportal.eplan.com/part-details/Siemens/SIE.6ES7193-6AR00-0AA0/id-458588?page=1
RIT.8005000,Rittal,Baying enclosure system VX25,"VX Baying enclosure system, WHD: 1000x2000x500 mm, sheet steel, with mounting plate, two doors at the front",Mechanics > Enclosure > General,https://dataportal.eplan.com/part-details/Rittal/RIT.8005000/id-933717?page=1
SIE.5ST3010,Siemens,SENTRON Auxiliary current switch Mountable,"auxiliary current switch, 1 NO+1 NC for miniature circuit breaker 5SL, 5SY, 5SP Incorporated switch 5TL1, RCBO 5SU1, FI 5SV (for 5SU1 handle coupler 5ST3805-1 is required)",Electrical engineering > Protection devices > General,https://dataportal.eplan.com/part-details/Siemens/SIE.5ST3010/id-648875?page=1
RIT.1050000,Rittal,"Compact enclosure AX / AX Compact enclosure, WHD: 500x500x210 mm, sheet steel, with mounting plate, single-door, with two cam locks",None ,Mechanics > Enclosure > General,https://dataportal.eplan.com/part-details/Rittal/RIT.1050000/id-995171?page=1
RIT.8006000,Rittal,Baying enclosure system VX25,"VX Baying enclosure system, WHD: 1000x2000x600 mm, sheet steel, with mounting plate, two doors at the front",Mechanics > Enclosure > General,https://dataportal.eplan.com/part-details/Rittal/RIT.8006000/id-933718?page=1
RIT.8806500,Rittal,"Baying systems TS 8 / TS Bayed enclosure system, WHD: 800x2000x600 mm, Sheet steel, with mounting plate, single door at the front.",None ,Mechanics > Enclosure > General,https://dataportal.eplan.com/part-details/Rittal/RIT.8806500/id-424217?page=1
SE.LC1D09P7,Schneider Electric,TeSys Deca contactor - 3P(3 NO) - AC-3 - = 440 V 9 A - 230 V AC coil,TeSys Deca contactor - 3P(3 NO) - AC-3 - <lt/>= 440 V 9 A - 230 V AC coil,"Electrical engineering > Relays, contactors > Contactors",https://dataportal.eplan.com/part-details/Schneider%20Electric/SE.LC1D09P7/id-430009?page=1
RIT.8004000,Rittal,Baying enclosure system VX25,"VX Baying enclosure system, WHD: 1000x2000x400 mm, sheet steel, with mounting plate, two doors at the front",None ,https://dataportal.eplan.com/part-details/Rittal/RIT.8004000/id-933716?page=1
RIT.8804000,Rittal,Baying enclosure system VX25,"VX Baying enclosure system, WHD: 800x2000x400 mm, sheet steel, with mounting plate, single door at the front",Mechanics > Enclosure > General,https://dataportal.eplan.com/part-details/Rittal/RIT.8804000/id-933974?page=1
RIT.8605000,Rittal,Baying enclosure system VX25,"VX Baying enclosure system, WHD: 600x2000x500 mm, sheet steel, with mounting plate, single door at the front",Mechanics > Enclosure > General,https://dataportal.eplan.com/part-details/Rittal/RIT.8605000/id-933765?page=1
RIT.8606500,Rittal,"Baying systems TS 8 / TS Bayed enclosure system, WHD: 600x2000x600 mm, Sheet steel, with mounting plate, single door at the front.",None ,Mechanics > Enclosure > General,https://dataportal.eplan.com/part-details/Rittal/RIT.8606500/id-424206?page=1
PXC.3209510,Phoenix Contact,Feed-through terminal block / Feed-through terminal block,"Feed-through terminal block, nom. voltage: 800 V, nominal current: 24 A, number of connections: 2, number of positions: 1, connection method: Push-in connection, Rated cross section: 2.5 mm², cross section: 0.14 mm² - 4 mm², mounting type: NS 35/7,5, NS 35/15, color: gray",Electrical engineering > Terminals > Terminal,https://dataportal.eplan.com/part-details/Phoenix%20Contact/PXC.3209510/id-418078?page=2
SIE.6ES7214-1AG40-0XB0,Siemens,"CPU 1214C, DC/DC/DC, 14DI/10DO/2AI / SIMATIC, S7-1200","SIMATIC S7-1200, CPU 1214C, compact CPU, DC/DC/DC, onboard I/O: 14 DI 24 V DC/ 10 DO 24 V DC/ 2 AI 0-10 V DC, Power supply: DC 20.4-28.8V DC, Program/data memory 100 KB",None ,https://dataportal.eplan.com/part-details/Siemens/SIE.6ES7214-1AG40-0XB0/id-707466?page=2
RIT.8005500,Rittal,"Baying systems TS 8 / TS Bayed enclosure system, WHD: 1000x2000x500 mm, Sheet steel, with mounting plate, two doors at the front.",None ,Mechanics > Enclosure > General,https://dataportal.eplan.com/part-details/Rittal/RIT.8005500/id-424177?page=2
RIT.8884000,Rittal,Baying enclosure system VX25,"VX Baying enclosure system, WHD: 800x1800x400 mm, sheet steel, with mounting plate, single door at the front",Mechanics > Enclosure > General,https://dataportal.eplan.com/part-details/Rittal/RIT.8884000/id-933984?page=2
SIE.6AV2124-0GC01-0AX0,Siemens,"SIMATIC HMI TP700 COMFORT / SIMATIC, HMI, Comfort Panel","SIMATIC HMI TP700 Comfort, Comfort Panel, Touch operation, 7"" widescreen TFT display, 16 million colors, PROFINET interface, MPI/PROFIBUS DP interface, 12 MB configuration memory, Windows CE 6.0, configurable from WinCC Comfort V11",None ,https://dataportal.eplan.com/part-details/Siemens/SIE.6AV2124-0GC01-0AX0/id-456743?page=2
RIT.8886500,Rittal,"Baying systems TS 8 / TS Bayed enclosure system, WHD: 800x1800x600 mm, Sheet steel, with mounting plate, single door at the front.",None ,Mechanics > Enclosure > General,https://dataportal.eplan.com/part-details/Rittal/RIT.8886500/id-424227?page=2
RIT.1060000,Rittal,"Compact enclosure AX / AX Compact enclosure, WHD: 600x600x210 mm, sheet steel, with mounting plate, single-door, with two cam locks",None ,Mechanics > Enclosure > General,https://dataportal.eplan.com/part-details/Rittal/RIT.1060000/id-995177?page=2
RIT.8006500,Rittal,"Baying systems TS 8 / TS Bayed enclosure system, WHD: 1000x2000x600 mm, Sheet steel, with mounting plate, two doors at the front.",None ,Mechanics > Enclosure > General,https://dataportal.eplan.com/part-details/Rittal/RIT.8006500/id-424178?page=2
FES.153227,Festo,Multiple distributor,Pneumatic connection 1 : External thread R1/4¶Pneumatic connection 2 : for pneumatic tubing outside diameter 10 mm¶No. of supply lines : 1¶No. of outlets : 3,Fluid power > Accessories (fluid) > Screw connections,https://dataportal.eplan.com/part-details/Festo/FES.153227/id-109029?page=2
SIE.6ES7193-6BP20-0DA0,Siemens,SIMATIC ET 200SP BU type A0 BU15-P16+A10+2D,"SIMATIC ET 200SP, BaseUnit BU15-P16+A10+2D, BU type A0, Push-in terminals, with 10 AUX terminals, New load group, WxH: 15 mmx141 mm",Electrical engineering > PLC > General,https://dataportal.eplan.com/part-details/Siemens/SIE.6ES7193-6BP20-0DA0/id-458594?page=2
RIT.1180000,Rittal,"Compact enclosure AX / AX Compact enclosure, WHD: 800x1000x300 mm, sheet steel, with mounting plate, single-door, with two cam locks",None ,Mechanics > Enclosure > General,https://dataportal.eplan.com/part-details/Rittal/RIT.1180000/id-995189?page=2
RIT.8285000,Rittal,Baying enclosure system VX25,"VX Baying enclosure system, WHD: 1200x1800x500 mm, sheet steel, with mounting plate, two doors at the front",Mechanics > Enclosure > General,https://dataportal.eplan.com/part-details/Rittal/RIT.8285000/id-933750?page=2
SIE.6ES7193-6BP20-0BA0,Siemens,SIMATIC ET 200SP BU type A0 BU15-P16+A10+2B,"SIMATIC ET 200SP, BaseUnit BU15-P16+A10+2B, BU type A0, Push-in terminals, with 10 AUX terminals, bridged to the left, WxH: 15 mmx141 mm",Electrical engineering > PLC > General,https://dataportal.eplan.com/part-details/Siemens/SIE.6ES7193-6BP20-0BA0/id-458593?page=2
SIE.6AV2123-2GB03-0AX0,Siemens,"SIMATIC HMI KTP700 Basic / SIMATIC , HMI , Basic Panel","SIMATIC HMI, KTP700 Basic, Basic Panel, Key/touch operation, 7"" TFT display, 65536 colors, PROFINET interface, configurable from WinCC Basic V13/ STEP 7 Basic V13, contains open-source software, which is provided free of charge see enclosed CD",Electrical engineering > PLC > General,https://dataportal.eplan.com/part-details/Siemens/SIE.6AV2123-2GB03-0AX0/id-706956?page=2
RIT.1054000,Rittal,"Compact enclosure AX / AX Compact enclosure, WHD: 600x600x250 mm, sheet steel, with mounting plate, single-door, with two cam locks",None ,Mechanics > Enclosure > General,https://dataportal.eplan.com/part-details/Rittal/RIT.1054000/id-995172?page=2
RIT.8204500,Rittal,"Baying systems TS 8 / TS Bayed enclosure system, WHD: 1200x2000x400 mm, Sheet steel, with mounting plate, two doors at the front.",None ,Mechanics > Enclosure > General,https://dataportal.eplan.com/part-details/Rittal/RIT.8204500/id-424181?page=2
